2025-05-22 18:12:37,508 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon "java24-openjdk" completely missing from icon theme. Consider switching icon theme.
2025-05-22 18:12:37,509 | INFO | ulauncher.utils.image_loader: check_icon_name() | Falling back on default icon "application-x-executable"
2025-05-22 18:12:37,511 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon "java24-openjdk" completely missing from icon theme. Consider switching icon theme.
2025-05-22 18:12:37,511 | INFO | ulauncher.utils.image_loader: check_icon_name() | Falling back on default icon "application-x-executable"
2025-05-22 18:12:37,512 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "droidcam" for "droidcam"
2025-05-22 18:12:37,514 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "iriunwebcam" for "iriunwebcam"
2025-05-22 18:12:37,528 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "fish" for "fish"
2025-05-22 18:12:37,565 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-05-22 18:12:37,570 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-05-22 18:12:37,573 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2025-05-22 18:12:37,700 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2025-05-22 18:12:38,184 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | Will attempt to launch the app using systemd-run with --scope argument
2025-05-22 18:12:38,185 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | This prevents the apps from terminating if Ulauncher crashes or is restarted.
2025-05-22 18:12:38,185 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | On some systems with outdated systemd or incorrect permissions this doesn't work.
2025-05-22 18:12:38,185 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | If this happens to you, don't run Ulauncher from systemd.
2025-05-22 18:12:38,185 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Deskflow (/usr/share/applications/org.deskflow.deskflow.desktop) Exec ['systemd-run', '--user', '--scope', 'deskflow']
2025-05-22 18:12:38,201 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 18:13:50,266 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Dosage" (/var/lib/flatpak/exports/share/applications/io.github.diegopvlk.Dosage.desktop)
2025-05-22 18:14:34,421 | DEBUG | ulauncher.utils.display: get_screens() | Found 2 monitor(s)
2025-05-22 18:14:34,421 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-05-22 18:14:34,421 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 1920, Y: 105, W: 1536, H: 864
2025-05-22 18:14:34,425 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 18:14:34,739 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-05-22 18:14:35,163 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-05-22 18:14:35,292 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-05-22 18:14:35,358 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2025-05-22 18:14:35,522 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-05-22 18:14:35,600 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-05-22 18:14:35,763 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | Will attempt to launch the app using systemd-run with --scope argument
2025-05-22 18:14:35,763 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | This prevents the apps from terminating if Ulauncher crashes or is restarted.
2025-05-22 18:14:35,763 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | On some systems with outdated systemd or incorrect permissions this doesn't work.
2025-05-22 18:14:35,763 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | If this happens to you, don't run Ulauncher from systemd.
2025-05-22 18:14:35,763 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Dosage (/var/lib/flatpak/exports/share/applications/io.github.diegopvlk.Dosage.desktop) Exec ['systemd-run', '--user', '--scope', '/usr/bin/flatpak', 'run', '--branch=stable', '--arch=x86_64', '--command=io.github.diegopvlk.Dosage', 'io.github.diegopvlk.Dosage']
2025-05-22 18:14:35,776 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 22:11:29,767 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-05-22 22:11:29,773 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1536, H: 864
2025-05-22 22:11:29,800 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 22:11:30,460 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-05-22 22:11:30,590 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2025-05-22 22:11:30,716 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 22:11:30,862 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 22:11:32,252 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | Will attempt to launch the app using systemd-run with --scope argument
2025-05-22 22:11:32,253 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | This prevents the apps from terminating if Ulauncher crashes or is restarted.
2025-05-22 22:11:32,253 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | On some systems with outdated systemd or incorrect permissions this doesn't work.
2025-05-22 22:11:32,253 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | If this happens to you, don't run Ulauncher from systemd.
2025-05-22 22:11:32,253 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application ChatGPT (/home/kevin/.local/share/applications/com.google.Chrome.flextop.chrome-cadlkienfkclaiaibeoongdcgmdikeeg-Default.desktop) Exec ['systemd-run', '--user', '--scope', 'flatpak', 'run', '--command=/app/bin/chrome', 'com.google.Chrome', '--profile-directory=Default', '--app-id=cadlkienfkclaiaibeoongdcgmdikeeg']
2025-05-22 22:11:32,281 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 22:11:35,937 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-05-22 22:11:35,937 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1536, H: 864
2025-05-22 22:11:35,944 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 22:11:36,653 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-05-22 22:11:36,766 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2025-05-22 22:11:37,955 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | Will attempt to launch the app using systemd-run with --scope argument
2025-05-22 22:11:37,956 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | This prevents the apps from terminating if Ulauncher crashes or is restarted.
2025-05-22 22:11:37,956 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | On some systems with outdated systemd or incorrect permissions this doesn't work.
2025-05-22 22:11:37,956 | WARNING | ulauncher.api.shared.action.LaunchAppAction: run() | If this happens to you, don't run Ulauncher from systemd.
2025-05-22 22:11:37,956 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Bitwarden (/var/lib/flatpak/exports/share/applications/com.bitwarden.desktop.desktop) Exec ['systemd-run', '--user', '--scope', '/usr/bin/flatpak', 'run', '--branch=stable', '--arch=x86_64', '--command=bitwarden', '--file-forwarding', 'com.bitwarden.desktop', '@@u', '@@']
